Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/reward/periodic/executeScheduledPeriodicReward (POST),0.73 [0.5],101.47135897866622,35.6,22.8,20.4,238,3610,00.1,02.6
/leaderboards/getCurrentLeague (POST),1.0 [0.5],170.10391686650678,19.7,13.3,12.9,140,3360,00.1,00.0
/model/{a:authentication|authentication\/v1}/register (POST),0.25 [0.5]*,2.0,1580,852,978,2180,3160,00.1,00.1
/store/quest/getQuests (POST),1.0 [0.5]*,40.075,78.7,18.1,57.4,141,3150,00.1,00.0
/recipe/recipe/processUpgradePlayerLevelRecipe (POST),1.0 [0.5]*,15.0,209,51.3,141,309,3140,00.1,00.0
/battlelog/campaign/v2/finishStage (POST),0.94 [0.5]*,8.999194819316077,342,135,211,582,3070,00.1,00.0
/battlelog/battlelog/listDefenseLogs (POST),1.0 [0.5],163.92964222114296,18.6,4.8,13.9,54.7,3060,00.1,00.0
/playermodel/reward/periodic/executeScheduledPeriodicReward (POST),0.06 [0.5]*,92.783862399778,32.8,25.4,19.5,258,3040,00.1,08.1
/sharedmodel/model/listModels (POST),0.5 [0.5]*,3.0,1010,69.8,936,1080,3020,00.1,00.1
/tutorial/startStep (POST),1.0 [0.5],137.0,22.0,8.69,15.3,80.2,3010,00.1,00.0
/playermodel/campaign/v2/finishStage (POST),0.95 [0.5]*,9.997307360696713,299,120,165,517,2990,00.1,00.0
/battlelog/playerraid/end (POST),1.0 [0.5]*,11.0,250,67.8,170,386,2750,00.0,00.0
/playermodel/model/listModels (POST),0.0 [0.5]*,9.0,301,22.6,285,358,2710,00.0,00.8
/store/campaign/v2/finishStage (POST),1.0 [0.5]*,10.232894736842105,265,61.4,194,408,2710,00.0,00.0
/recipe/processUnlockCharacterRecipe (POST),1.0 [0.5]*,34.987317886907,73.9,17.4,55.6,131,2590,00.0,00.0
/sharedmodel/listSharedModels (POST),1.0 [0.5]*,56.69751591028683,43.6,22.8,16.9,146,2470,00.0,00.0
/battlelog/campaign/v2/startStage (POST),1.0 [0.5]*,42.9886493809206,56.7,13.5,40.0,97.5,2440,00.0,00.0
/{a:crate|crate\/v1}/mission/v1/action/draw (POST),1.0 [0.5]*,36.12916666666667,67.3,9.85,50.8,98.5,2430,00.0,00.0
/goal/v1/claimRepeatableGoal (POST),1.0 [0.5]*,18.0,129,58.4,74.6,267,2310,00.0,00.0
/{a:authentication|authentication\/v1}/login/internal (POST),1.0 [0.5]*,28.846104585935407,78.1,21.3,47.8,121,2250,00.0,00.0
/tutorial/recipe/processUpgradePlayerLevelRecipe (POST),1.0 [0.5]*,11.0,196,43.9,130,296,2160,00.0,00.0
/playerraid/getStolenCrateHistory (POST),0.95 [0.5]*,9.937549170048527,211,517,14.9,1670,2100,00.0,00.0
/tutorial/campaign/v2/getUpdatedCampaignInfo (POST),0.97 [0.5]*,19.0,108,175,20.9,787,2060,00.0,00.0
/playermodel/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,28.66216216216216,71.7,16.0,59.2,136,2050,00.0,00.0
/battlelog/tutorial/completeStep (POST),1.0 [0.5]*,42.0,45.9,36.0,11.2,113,1930,00.0,00.0
/reward/periodic/reward/periodic/executeScheduledPeriodicReward (POST),0.3 [0.5]*,60.857823697210044,31.5,5.2,23.9,48.8,1920,00.0,04.0
/store/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,17.21842105263158,111,81.8,23.8,231,1910,00.0,00.0
/leaderboards/getRewardsByLeague (POST),1.0 [0.5],128.941978846366,14.8,8.13,10.6,90.1,1900,00.0,00.0
/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,97.9741362998078,19.2,5.03,13.6,44.4,1880,00.0,00.0
/{a:crate|crate\/v1}/tutorial/completeStep (POST),1.0 [0.5]*,30.0,60.7,50.4,11.8,231,1820,00.0,00.0
