Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/{a:crate|crate\/v1}/{a:matchmaking|matchmaking\/v1}/search (POST),0.99 [0.5],2720.0,379,4690,20.3,155000,1030000,00.1,00.0
/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),0.98 [0.5],3515.0,292,3870,20.1,141000,1030000,00.1,00.1
/tutorial/recipe/processOpenGachaRecipe (POST),0.91 [0.5],527.0,1940,12000,19.0,150000,1020000,00.1,00.1
/battlelog/ads/claim (POST),0.65 [0.5],3405.0,300,3680,19.2,95100,1020000,00.1,01.3
/recipe/mission/v1/action/draw (POST),0.99 [0.5],3510.0,288,3220,44.1,118000,1010000,00.1,00.1
/playermodel/inbox/getPlayerInbox (POST),0.98 [0.5],3528.0,286,3840,10.5,163000,1010000,00.1,00.1
/recipe/tutorial/completeStep (POST),0.96 [0.5],690.0,1440,9740,10.8,144000,991000,00.1,00.0
/playermodel/inbox/readPlayerInboxMessage (POST),0.97 [0.5],912.0,1090,9830,26.6,171000,991000,00.1,00.0
/store/inbox/getPlayerInbox (POST),0.99 [0.5],2634.0,376,4250,11.4,123000,990000,00.1,00.0
/battlelog/campaign/v2/listCoreCampaigns (POST),0.93 [0.5],1327.0,729,4540,153,102000,967000,00.1,00.1
/recipe/playerraid/end (POST),0.91 [0.5],1061.0,887,6090,167,112000,941000,00.1,00.1
/{a:authentication|authentication\/v1}/login/internal (POST),0.96 [0.5],831.3689262825038,1090,7250,42.7,79400,907000,00.1,00.0
/battlelog/inbox/getPlayerInbox (POST),0.99 [0.5],3619.7236441081072,251,3490,10.9,91000,907000,00.1,00.0
/store/{a:matchmaking|matchmaking\/v1}/search (POST),0.98 [0.5],2172.0,408,4220,19.0,81300,887000,00.1,00.0
/store/campaign/v2/getPlayerCampaignStatus (POST),0.99 [0.5],2477.0,342,4770,10.7,134000,846000,00.1,00.0
/store/campaign/v2/listCoreCampaigns (POST),0.89 [0.5],797.0,1050,6920,138,117000,834000,00.1,00.1
/leaderboards/getPayoutTime (POST),0.99 [0.5],3080.4695167863842,270,3990,8.64,137000,833000,00.1,00.0
/playermodel/campaign/v2/getPlayerCampaignStatus (POST),0.99 [0.5],3735.0,216,2690,10.9,106000,806000,00.1,00.1
/recipe/recipe/processOpenGachaRecipe (POST),0.92 [0.5],1083.0,744,4870,22.5,105000,805000,00.1,00.1
/tutorial/version (GET),0.71 [0.5]*,59.0,13500,27200,0.479,112000,798000,00.1,00.0
/recipe/version (GET),0.83 [0.5]*,97.0,8170,28000,0.405,195000,793000,00.1,00.0
/tutorial/campaign/v2/finishStage (POST),0.82 [0.5],256.0,3070,14600,26.2,134000,786000,00.1,00.1
/recipe/campaign/v2/getUpdatedCampaignInfo (POST),0.96 [0.5],2145.0,366,3370,21.8,103000,786000,00.1,00.1
/tutorial/battlelog/listDefenseLogs (POST),0.99 [0.5],1572.0,495,5870,12.6,118000,778000,00.1,00.0
/{a:crate|crate\/v1}/leaderboards/getCurrentLeague (POST),0.99 [0.5],1630.0,461,6020,14.4,127000,752000,00.1,00.0
/playermodel/leaderboards/getPlayerPosition (POST),0.93 [0.5],1265.0,586,3880,33.3,89600,742000,00.1,00.1
/{a:crate|crate\/v1}/{a:authentication|authentication\/v1}/register (POST),0.39 [0.5]*,46.0,15200,35900,662,165000,700000,00.1,00.0
/playermodel/version (GET),0.96 [0.5],452.0,1550,12700,0.399,157000,699000,00.1,00.0
/store/recipe/processOpenGachaRecipe (POST),0.92 [0.5],1336.0,519,2400,21.4,51300,694000,00.1,00.1
/playermodel/tutorial/completeStep (POST),0.97 [0.5],1174.0,590,6410,10.3,121000,693000,00.1,00.0
/battlelog/inbox/readPlayerInboxMessage (POST),0.98 [0.5],853.0,776,8350,27.9,188000,662000,00.1,00.0
/battlelog/campaign/v2/startStage (POST),0.98 [0.5],1990.0,331,4020,27.3,84800,659000,00.1,00.1
/{a:crate|crate\/v1}/inbox/getPlayerInbox (POST),0.99 [0.5],3355.0,196,3370,11.3,150000,659000,00.1,00.0
/playermodel/playerraid/startRaid (POST),0.98 [0.5],3159.0,207,2010,27.8,74100,654000,00.1,00.1
/tutorial/{a:crate|crate\/v1}/listSharedCrates (POST),0.99 [0.5],1352.0,466,5860,19.8,133000,631000,00.1,00.0
/model/listModels (POST),0.42 [0.5],308.36422814991454,2020,4920,873,57800,623000,00.1,00.2
/{a:crate|crate\/v1}/playerraid/startRaid (POST),1.0 [0.5],3961.0,154,2950,26.6,162000,611000,00.1,00.0
/store/tutorial/completeStep (POST),0.97 [0.5],966.0,626,5390,10.2,110000,605000,00.1,00.0
/playermodel/{a:authentication|authentication\/v1}/register (POST),0.34 [0.5]*,25.0,24000,52400,712,218000,599000,00.1,00.0
/store/ads/claim (POST),0.53 [0.5],3036.0,197,2870,19.2,110000,598000,00.1,01.6
/{a:crate|crate\/v1}/assignSharedCrate (POST),0.42 [0.5],4119.0,144,619,23.1,22000,592000,00.1,02.7
/{a:crate|crate\/v1}/campaign/v2/listCoreCampaigns (POST),0.91 [0.5],993.0,580,3750,233,112000,576000,00.1,00.1
/{a:crate|crate\/v1}/ads/claim (POST),0.55 [0.5],3444.0,166,2310,18.8,94200,572000,00.1,01.7
/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),0.98 [0.5],1145.0,494,4460,21.2,78800,565000,00.1,00.0
/recipe/processUnlockCharacterRecipe (POST),0.96 [0.5],1016.0,535,5120,23.8,119000,543000,00.1,00.0
/battlelog/leaderboards/getPlayerPosition (POST),0.99 [0.5],1353.0,388,2290,33.7,49900,525000,00.1,00.0
/battlelog/campaign/v2/getUpdatedStageInfo (POST),0.98 [0.5],1296.0,402,4880,12.8,121000,521000,00.1,00.0
/playermodel/campaign/v2/getUpdatedStageInfo (POST),0.98 [0.5],1435.0,362,3900,12.0,83300,519000,00.1,00.0
/battlelog/tutorial/completeStep (POST),0.99 [0.5],1156.0,440,5300,10.6,121000,509000,00.1,00.0
/{a:crate|crate\/v1}/campaign/v2/startStage (POST),0.98 [0.5],1561.0,321,5180,30.9,155000,502000,00.1,00.0
/recipe/inbox/getPlayerInbox (POST),0.98 [0.5],1119.0,441,6200,11.1,179000,493000,00.1,00.0
/{a:crate|crate\/v1}/inbox/claimPlayerInboxMessage (POST),0.94 [0.5],563.0,869,6440,51.5,91500,489000,00.1,00.0
/tutorial/playerraid/end (POST),0.94 [0.5],370.0,1300,10700,128,170000,480000,00.1,00.0
/recipe/campaign/v2/finishStage (POST),0.77 [0.5],639.0,746,2490,24.2,44700,476000,00.1,00.2
/battlelog/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5],3928.0,120,2030,10.3,62400,470000,00.1,00.0
/tutorial/campaign/v2/listCoreCampaigns (POST),0.93 [0.5],153.0,3070,14600,112,99100,470000,00.1,00.0
/playermodel/infobutton/getGachaRewardInfo (POST),0.98 [0.5],1126.0,417,5530,16.1,164000,470000,00.1,00.0
/playermodel/campaign/v2/startStage (POST),0.97 [0.5],1972.0,237,2060,25.9,63900,468000,00.1,00.1
/store/inbox/claimPlayerInboxMessage (POST),0.93 [0.5],457.0,1020,7880,55.3,131000,465000,00.1,00.0
/store/playerraid/startRaid (POST),0.99 [0.5],3344.0,138,2000,25.7,70900,460000,00.1,00.0
