Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/playermodel/battlelog/inbox/getPlayerInbox (POST),1.0 [0.5]*,7.0,13.8,1.84,11.5,17.4,96.3,00.0,00.0
/store/recipe/recipe/quest/getQuests (POST),1.0 [0.5]*,1.0,95.9,0,95.9,95.9,95.9,00.0,00.0
/{a:crate|crate\/v1}/tutorial/quest/getQuests (POST),1.0 [0.5]*,1.0,93.8,0,93.8,93.8,93.8,00.0,00.0
/battlelog/recipe/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,2.0,46.5,40.1,18.1,74.8,92.9,00.0,00.0
/playermodel/battlelog/playermodel/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,3.0,30.9,1.08,29.8,32.0,92.8,00.0,00.0
/notification/{a:crate|crate\/v1}/handleDeliveries (POST),1.0 [0.5]*,2.0,46.3,5.42,42.5,50.1,92.6,00.0,00.0
/tutorial/recipe/processConsumePotionRecipe (POST),1.0 [0.5]*,1.0,92.3,0,92.3,92.3,92.3,00.0,00.0
/battlelog/recipe/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,2.0,45.6,14.1,35.6,55.6,91.2,00.0,00.0
/tutorial/tutorial/goal/v1/claimRepeatableGoal (POST),1.0 [0.5]*,1.0,90.9,0,90.9,90.9,90.9,00.0,00.0
/notification/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,5.0,17.8,5.29,12.4,25.2,88.8,00.0,00.0
/recipe/battlelog/tutorial/quest/getQuests (POST),1.0 [0.5]*,1.0,86.7,0,86.7,86.7,86.7,00.0,00.0
/sharedmodel/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,1.0,86.3,0,86.3,86.3,86.3,00.0,00.0
/tutorial/tutorial/tutorial/goal/v1/claimRepeatableGoal (POST),1.0 [0.5]*,1.0,83.7,0,83.7,83.7,83.7,00.0,00.0
/battlelog/recipe/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,3.0,27.6,7.97,20.5,36.2,82.9,00.0,00.0
/battlelog/recipe/{a:authentication|authentication\/v1}/login/internal (POST),1.0 [0.5]*,1.0,81.7,0,81.7,81.7,81.7,00.0,00.0
/store/recipe/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,4.0,20.2,6.06,15.5,28.3,80.9,00.0,00.0
/store/recipe/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,3.0,27.0,5.39,20.9,31.2,80.9,00.0,00.0
/reward/periodic/recipe/recipe/mission/v1/action/draw (POST),1.0 [0.5]*,1.0,80.8,0,80.8,80.8,80.8,00.0,00.0
/store/recipe/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,2.0,39.9,25.0,22.2,57.5,79.8,00.0,00.0
/{a:crate|crate\/v1}/battlelog/inbox/getPlayerInbox (POST),1.0 [0.5]*,6.0,13.3,1.21,11.4,15.2,79.7,00.0,00.0
/playermodel/recipe/{a:authentication|authentication\/v1}/login/internal (POST),1.0 [0.5]*,1.0,77.7,0,77.7,77.7,77.7,00.0,00.0
/notification/battlelog/listDefenseLogs (POST),1.0 [0.5]*,1.0,77.4,0,77.4,77.4,77.4,00.0,00.0
/{a:crate|crate\/v1}/sharedmodel/listSharedModels (POST),1.0 [0.5]*,2.0,38.6,17.7,26.1,51.2,77.3,00.0,00.0
/model/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,2.0,38.6,4.57,35.3,41.8,77.1,00.0,00.0
/{a:crate|crate\/v1}/tutorial/battlelog/tutorial/tutorial/tutorial/tutorial/tutorial/tutorial/tutorial,1.0 [0.5]*,1.0,75.0,0,75.0,75.0,75.0,00.0,00.0
/playermodel/battlelog/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,2.0,36.7,0.939,36.1,37.4,73.5,00.0,00.0
/sharedmodel/mission/v1/action/draw (POST),1.0 [0.5]*,1.0,70.4,0,70.4,70.4,70.4,00.0,00.0
/reward/periodic/recipe/reward/periodic/executeScheduledPeriodicReward (POST),0.5 [0.5]*,2.0,34.5,1.86,33.2,35.8,69.0,00.0,00.0
/{a:crate|crate\/v1}/recipe/{a:crate|crate\/v1}/assignSharedCrate (POST),0.0 [0.5]*,1.0,68.9,0,68.9,68.9,68.9,00.0,00.0
/playermodel/recipe/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,3.0,22.9,2.9,20.8,26.2,68.7,00.0,00.0
/sharedmodel/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,2.9942599979823648,22.8,10.1,15.0,34.2,68.3,00.0,00.0
/{a:crate|crate\/v1}/servertime/getServerTime (POST),1.0 [0.5],117.0,0.578,0.176,0.316,1.43,67.7,00.0,00.0
/model/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,4.0,16.5,3.36,12.7,20.8,65.8,00.0,00.0
/sharedmodel/playerraid/getStolenCrateHistory (POST),1.0 [0.5]*,4.0,16.4,0.578,15.8,17.1,65.7,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,2.0,32.8,5.3,29.0,36.5,65.6,00.0,00.0
/model/tutorial/startStep (POST),1.0 [0.5]*,3.0,21.0,1.25,19.6,22.0,63.0,00.0,00.0
/tutorial/recipe/quest/getQuests (POST),1.0 [0.5]*,1.0,62.6,0,62.6,62.6,62.6,00.0,00.0
/battlelog/recipe/processConsumePotionRecipe (POST),1.0 [0.5]*,1.0,62.5,0,62.5,62.5,62.5,00.0,00.0
/battlelog/recipe/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,62.3,0,62.3,62.3,62.3,00.0,00.0
/battlelog{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,3.0,20.7,24.7,5.7,49.3,62.1,00.0,00.0
/{a:crate|crate\/v1}/playermodel/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,2.0,31.1,3.75,28.4,33.7,62.1,00.0,00.0
/sharedmodel/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,60.7,0,60.7,60.7,60.7,00.0,00.0
/notification/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,2.0,30.4,2.19,28.8,31.9,60.7,00.0,00.0
/{a:crate|crate\/v1}/playermodel/quest/getQuests (POST),1.0 [0.5]*,1.0,60.5,0,60.5,60.5,60.5,00.0,00.0
/recipe/processConsumePotionRecipe (POST),1.0 [0.5]*,1.0,59.6,0,59.6,59.6,59.6,00.0,00.0
/reward/periodic/{a:authentication|authentication\/v1}/login/internal (POST),1.0 [0.5]*,1.0,59.2,0,59.2,59.2,59.2,00.0,00.0
/reward/periodic/recipe/playerraid/startRaid (POST),1.0 [0.5]*,1.0,59.2,0,59.2,59.2,59.2,00.0,00.0
/reward/periodic/leaderboards/claimPromotionRewards (POST),1.0 [0.5]*,1.0,59.2,0,59.2,59.2,59.2,00.0,00.0
/{a:crate|crate\/v1}/recipe/tutorial/quest/getQuests (POST),1.0 [0.5]*,1.0,58.5,0,58.5,58.5,58.5,00.0,00.0
/model/notification/update (POST),1.0 [0.5]*,2.9860861557811518,19.6,5.7,14.3,25.6,58.4,00.0,00.0
/tutorial/tutorial/tutorial/tutorial/quest/getQuests (POST),1.0 [0.5]*,1.0,58.4,0,58.4,58.4,58.4,00.0,00.0
/recipe/recipe/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,3.0,19.0,1.61,17.1,20.1,56.9,00.0,00.0
/{a:crate|crate\/v1}/battlelog/playermodel/battlelog/quest/getQuests (POST),1.0 [0.5]*,1.0,56.2,0,56.2,56.2,56.2,00.0,00.0
/recipe/tutorial/tutorial/recipe/tutorial/tutorial/campaign/v2/startStage (POST),1.0 [0.5]*,1.0,54.9,0,54.9,54.9,54.9,00.0,00.0
/battlelog/tutorial/quest/getQuests (POST),1.0 [0.5]*,1.0,54.9,0,54.9,54.9,54.9,00.0,00.0
/playermodel/recipe/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,2.0,26.7,10.5,19.3,34.2,53.5,00.0,00.0
/reward/periodic/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,3.0,17.7,2.15,16.1,20.2,53.2,00.0,00.0
/{a:crate|crate\/v1}/battlelog/recipe/tutorial/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,53.2,0,53.2,53.2,53.2,00.0,00.0
/sharedmodel{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,2.0,26.3,27.2,7.11,45.6,52.7,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/inbox/getPlayerInbox (POST),1.0 [0.5]*,4.0,13.2,2.07,11.4,15.6,52.6,00.0,00.0
/battlelog/recipe/recipe/ads/claim (POST),1.0 [0.5]*,1.0,52.0,0,52.0,52.0,52.0,00.0,00.0
/playermodel/recipe/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,2.0,25.5,2.07,24.0,26.9,51.0,00.0,00.0
/reward/periodic/recipe/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,1.0,50.6,0,50.6,50.6,50.6,00.0,00.0
/playermodel/notification/update (POST),1.0 [0.5]*,2.0,25.3,4.97,21.8,28.8,50.5,00.0,00.0
/sharedmodel/reward/periodic/executeScheduledPeriodicReward (POST),1.0 [0.5]*,1.0,50.4,0,50.4,50.4,50.4,00.0,00.0
/playermodel/recipe/recipe/playerraid/startRaid (POST),1.0 [0.5]*,1.0,50.0,0,50.0,50.0,50.0,00.0,00.0
/{a:crate|crate\/v1}/recipe/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,3.0,16.7,1.59,15.0,18.1,50.0,00.0,00.0
/playermodel/recipe/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,2.0,24.7,10.5,17.3,32.2,49.5,00.0,00.0
/recipe/recipe/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,1.0,48.4,0,48.4,48.4,48.4,00.0,00.0
/store/recipe/infobutton/getRewardInfo (POST),1.0 [0.5]*,2.0,24.1,10.3,16.8,31.4,48.2,00.0,00.0
/{a:crate|crate\/v1}/recipe/infobutton/getRewardInfo (POST),1.0 [0.5]*,2.0,24.1,4.23,21.1,27.1,48.2,00.0,00.0
/playermodel/tutorial/tutorial/battlelog/tutorial/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,1.0,44.8,0,44.8,44.8,44.8,00.0,00.0
/tutorial/playermodel/tutorial/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,44.7,0,44.7,44.7,44.7,00.0,00.0
/{a:crate|crate\/v1}/playermodel/campaign/v2/startStage (POST),1.0 [0.5]*,1.0,44.7,0,44.7,44.7,44.7,00.0,00.0
/recipe/recipe/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,2.0,21.8,1.7,20.6,23.0,43.6,00.0,00.0
/reward/periodic/playermodel/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,43.6,0,43.6,43.6,43.6,00.0,00.0
/{a:crate|crate\/v1}/battlelog/tutorial/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,1.0,43.1,0,43.1,43.1,43.1,00.0,00.0
/{a:crate|crate\/v1}/recipe/reward/periodic/executeScheduledPeriodicReward (POST),1.0 [0.5]*,1.0,41.2,0,41.2,41.2,41.2,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,2.0,20.6,4.2,17.6,23.5,41.1,00.0,00.0
/store/recipe/recipe/playerraid/startRaid (POST),1.0 [0.5]*,1.0,39.4,0,39.4,39.4,39.4,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/playerraid/startRaid (POST),1.0 [0.5]*,1.0,39.4,0,39.4,39.4,39.4,00.0,00.0
/playermodel/recipe/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,2.0,19.6,3.01,17.5,21.8,39.3,00.0,00.0
/store/playerraid/getStolenCrateHistory (POST),1.0 [0.5]*,2.0,19.1,1.71,17.9,20.3,38.2,00.0,00.0
/recipe/recipe/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,2.0,18.9,1.01,18.2,19.6,37.8,00.0,00.0
/playermodel/battlelog/reward/periodic/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,37.0,0,37.0,37.0,37.0,00.0,00.0
/reward/periodic/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,36.6,0,36.6,36.6,36.6,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,36.4,0,36.4,36.4,36.4,00.0,00.0
/recipe/recipe/recipe/ads/claim (POST),0.0 [0.5]*,1.0,35.7,0,35.7,35.7,35.7,00.0,00.0
/{a:crate|crate\/v1}/playermodel/reward/periodic/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,35.2,0,35.2,35.2,35.2,00.0,00.0
/tutorial/tutorial/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,35.1,0,35.1,35.1,35.1,00.0,00.0
/battlelog/playermodel/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,35.1,0,35.1,35.1,35.1,00.0,00.0
/{a:crate|crate\/v1}/playermodel/model/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,34.5,0,34.5,34.5,34.5,00.0,00.0
/battlelog/reward/periodic/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,34.3,0,34.3,34.3,34.3,00.0,00.0
/store/recipe/recipe/store/purchaseConversionProduct (POST),1.0 [0.5]*,1.0,33.7,0,33.7,33.7,33.7,00.0,00.0
/reward/periodic/battlelog/reward/periodic/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,33.2,0,33.2,33.2,33.2,00.0,00.0
/tutorial/reward/periodic/playermodel/tutorial/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,32.4,0,32.4,32.4,32.4,00.0,00.0
/tutorial/recipe/tutorial/recipe/playermodel/tutorial/tutorial/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,31.9,0,31.9,31.9,31.9,00.0,00.0
/battlelog/recipe/recipe/store/purchaseConversionProduct (POST),1.0 [0.5]*,1.0,30.9,0,30.9,30.9,30.9,00.0,00.0
/{a:crate|crate\/v1}/battlelog/reward/periodic/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,30.2,0,30.2,30.2,30.2,00.0,00.0
/battlelog/recipe/recipe/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,1.0,29.9,0,29.9,29.9,29.9,00.0,00.0
/reward/periodic/reward/periodic/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,29.7,0,29.7,29.7,29.7,00.0,00.0
/{a:crate|crate\/v1}/playermodel/playermodel/playermodel/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,29.7,0,29.7,29.7,29.7,00.0,00.0
/recipe/recipe/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,1.0,29.7,0,29.7,29.7,29.7,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,29.5,0,29.5,29.5,29.5,00.0,00.0
/recipe/recipe/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,1.0,29.4,0,29.4,29.4,29.4,00.0,00.0
/{a:crate|crate\/v1}{a:player|player\/v1}/changePlayerName (POST),1.0 [0.5]*,1.0,29.2,0,29.2,29.2,29.2,00.0,00.0
/playermodel/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,28.5,0,28.5,28.5,28.5,00.0,00.0
/{a:crate|crate\/v1}/battlelog/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,1.0,28.2,0,28.2,28.2,28.2,00.0,00.0
/{a:crate|crate\/v1}/recipe/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,2.0,14.0,2.26,12.4,15.6,28.0,00.0,00.0
/store/sharedmodel/listSharedModels (POST),1.0 [0.5]*,1.0,27.0,0,27.0,27.0,27.0,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,1.0,27.0,0,27.0,27.0,27.0,00.0,00.0
/battlelog/sharedmodel/listSharedModels (POST),1.0 [0.5]*,1.0,26.4,0,26.4,26.4,26.4,00.0,00.0
/{a:crate|crate\/v1}/battlelog/playermodel/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,25.4,0,25.4,25.4,25.4,00.0,00.0
/battlelog/content/getGameContentVersionConfig (POST),1.0 [0.5]*,3.0,8.39,13.0,0.73,23.3,25.2,00.0,00.0
/tutorial/servertime/getServerTime (POST),1.0 [0.5]*,8.0,3.14,7.64,0.369,22.1,25.1,00.0,00.0
/{a:crate|crate\/v1}/notification/update (POST),1.0 [0.5]*,2.0,12.2,1.78,11.0,13.5,24.5,00.0,00.0
/battlelog/recipe/recipe/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,1.0,24.2,0,24.2,24.2,24.2,00.0,00.0
/reward/periodic/leaderboards/getPayoutTime (POST),1.0 [0.5]*,2.0,12.0,0.338,11.8,12.2,24.0,00.0,00.0
/{a:crate|crate\/v1}/recipe/leaderboards/getPayoutTime (POST),1.0 [0.5]*,1.0,23.8,0,23.8,23.8,23.8,00.0,00.0
/playermodel{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,3.0,7.67,0.995,7.07,8.82,23.0,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,1.0,22.8,0,22.8,22.8,22.8,00.0,00.0
/tutorial{a:player|player\/v1}/changePlayerName (POST),1.0 [0.5]*,1.0,22.7,0,22.7,22.7,22.7,00.0,00.0
/playermodel/recipe/recipe/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,1.0,22.0,0,22.0,22.0,22.0,00.0,00.0
/playermodel/sharedmodel/listSharedModels (POST),1.0 [0.5]*,1.0,21.4,0,21.4,21.4,21.4,00.0,00.0
/battlelog/recipe/leaderboards/getPayoutTime (POST),1.0 [0.5]*,1.0,21.1,0,21.1,21.1,21.1,00.0,00.0
/recipe/recipe/recipe/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,1.0,21.0,0,21.0,21.0,21.0,00.0,00.0
/reward/periodic/version (GET),1.0 [0.5]*,24.0,0.862,0.317,0.522,1.76,20.7,00.0,00.0
/{a:crate|crate\/v1}/battlelog/version (GET),1.0 [0.5]*,25.0,0.825,0.177,0.659,1.34,20.6,00.0,00.0
/battlelog/tutorial/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,20.3,0,20.3,20.3,20.3,00.0,00.0
/battlelog/recipe/recipe/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,1.0,20.2,0,20.2,20.2,20.2,00.0,00.0
/playermodel/battlelog/version (GET),1.0 [0.5]*,25.0,0.789,0.124,0.579,1.11,19.7,00.0,00.0
/store/recipe/leaderboards/getTopPlayers (POST),1.0 [0.5]*,1.0,19.4,0,19.4,19.4,19.4,00.0,00.0
/battlelog/playermodel{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,1.0,19.4,0,19.4,19.4,19.4,00.0,00.0
/sharedmodel/version (GET),1.0 [0.5]*,15.973731951240536,1.19,0.344,0.626,1.91,18.9,00.0,00.0
/tutorial/sharedmodel/listSharedModels (POST),1.0 [0.5]*,1.0,18.0,0,18.0,18.0,18.0,00.0,00.0
/model/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,1.0,17.6,0,17.6,17.6,17.6,00.0,00.0
/{a:crate|crate\/v1}/playermodel/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,1.0,17.1,0,17.1,17.1,17.1,00.0,00.0
/sharedmodel/playermodel/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,1.0,17.1,0,17.1,17.1,17.1,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,1.0,17.1,0,17.1,17.1,17.1,00.0,00.0
/playermodel/recipe/recipe/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,1.0,16.9,0,16.9,16.9,16.9,00.0,00.0
/sharedmodel/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,1.0,16.6,0,16.6,16.6,16.6,00.0,00.0
/{a:player|player\/v1}/changePlayerName (POST),1.0 [0.5]*,1.0,16.1,0,16.1,16.1,16.1,00.0,00.0
/{a:crate|crate\/v1}/playermodel/version (GET),1.0 [0.5]*,20.0,0.732,0.0682,0.581,0.814,14.6,00.0,00.0
/playermodel/recipe/recipe/liveops/events/evaluate (POST),1.0 [0.5]*,1.0,14.4,0,14.4,14.4,14.4,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,14.2,0,14.2,14.2,14.2,00.0,00.0
/playermodel/battlelog/reward/periodic/reward/periodic/playermodel/playermodel/battlelog/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,14.2,0,14.2,14.2,14.2,00.0,00.0
/playermodel/battlelog/playermodel/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,13.8,0,13.8,13.8,13.8,00.0,00.0
/store/recipe/recipe/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,1.0,13.6,0,13.6,13.6,13.6,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/playermodel/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,13.3,0,13.3,13.3,13.3,00.0,00.0
/battlelog/notification/update (POST),1.0 [0.5]*,1.0,12.5,0,12.5,12.5,12.5,00.0,00.0
/playermodel/playermodel/playermodel/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,12.5,0,12.5,12.5,12.5,00.0,00.0
/playermodel/recipe/leaderboards/getPayoutTime (POST),1.0 [0.5]*,1.0,12.1,0,12.1,12.1,12.1,00.0,00.0
/playermodel/playermodel/battlelog/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,11.7,0,11.7,11.7,11.7,00.0,00.0
/battlelog/unauthenticated/localization/info (POST),1.0 [0.5]*,3.0,3.84,4.94,0.865,9.55,11.5,00.0,00.0
/tutorial{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,2.0,5.59,1.46,4.55,6.62,11.2,00.0,00.0
/{a:crate|crate\/v1}/playerraid/getStolenCrateHistory (POST),1.0 [0.5]*,1.0,10.2,0,10.2,10.2,10.2,00.0,00.0
/reward/periodic/servertime/getServerTime (POST),1.0 [0.5]*,17.0,0.537,0.0675,0.377,0.661,9.13,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/version (GET),1.0 [0.5]*,11.0,0.808,0.177,0.673,1.16,8.88,00.0,00.0
/reward/periodic{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,1.0,7.44,0,7.44,7.44,7.44,00.0,00.0
/model/servertime/getServerTime (POST),1.0 [0.5]*,1.0,7.15,0,7.15,7.15,7.15,00.0,00.0
/playermodel/unauthenticated/localization/info (POST),1.0 [0.5]*,4.0,1.19,0.267,0.857,1.5,4.74,00.0,00.0
/store{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,1.0,4.42,0,4.42,4.42,4.42,00.0,00.0
/{a:crate|crate\/v1}/content/getGameContentVersionConfig (POST),1.0 [0.5]*,4.0,1.08,0.337,0.74,1.48,4.34,00.0,00.0
/sharedmodel/content/getGameContentVersionConfig (POST),1.0 [0.5]*,2.0,1.35,0.176,1.23,1.48,2.71,00.0,00.0
/playermodel/content/getGameContentVersionConfig (POST),1.0 [0.5]*,3.0,0.862,0.211,0.653,1.08,2.59,00.0,00.0
/battlelog/battlelog/version (GET),1.0 [0.5]*,3.0,0.782,0.0731,0.72,0.862,2.34,00.0,00.0
/model/unauthenticated/localization/info (POST),1.0 [0.5]*,1.0,2.24,0,2.24,2.24,2.24,00.0,00.0
/playermodel/battlelog/playermodel/version (GET),1.0 [0.5]*,2.0,0.934,0.245,0.761,1.11,1.87,00.0,00.0
/model/bundle/getBundleConfig (POST),1.0 [0.5]*,1.0,1.42,0,1.42,1.42,1.42,00.0,00.0
/{a:crate|crate\/v1}/battlelog/playermodel/version (GET),1.0 [0.5]*,2.0,0.672,0.0863,0.611,0.733,1.34,00.0,00.0
/{a:crate|crate\/v1}/unauthenticated/localization/info (POST),1.0 [0.5]*,1.0,1.23,0,1.23,1.23,1.23,00.0,00.0
/playermodel/sharedmodel/version (GET),1.0 [0.5]*,1.0,1.15,0,1.15,1.15,1.15,00.0,00.0
/battlelog/playermodel/version (GET),1.0 [0.5]*,1.0,1.11,0,1.11,1.11,1.11,00.0,00.0
/notification/version (GET),1.0 [0.5]*,1.0,1.05,0,1.05,1.05,1.05,00.0,00.0
/{a:crate|crate\/v1}/battlelog/battlelog/version (GET),1.0 [0.5]*,1.0,0.983,0,0.983,0.983,0.983,00.0,00.0
/model/content/getGameContentVersionConfig (POST),1.0 [0.5]*,1.0,0.841,0,0.841,0.841,0.841,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/playermodel/battlelog/playermodel/version (GET),1.0 [0.5]*,1.0,0.825,0,0.825,0.825,0.825,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/reward/periodic/version (GET),1.0 [0.5]*,1.0,0.802,0,0.802,0.802,0.802,00.0,00.0
/reward/periodic/playermodel/battlelog/version (GET),1.0 [0.5]*,1.0,0.783,0,0.783,0.783,0.783,00.0,00.0
/{a:crate|crate\/v1}/battlelog/battlelog/playermodel/battlelog/version (GET),1.0 [0.5]*,1.0,0.765,0,0.765,0.765,0.765,00.0,00.0
/playermodel/battlelog/battlelog/playermodel/battlelog/version (GET),1.0 [0.5]*,1.0,0.734,0,0.734,0.734,0.734,00.0,00.0
/{a:crate|crate\/v1}/battlelog/playermodel/playermodel/unauthenticated/localization/info (POST),1.0 [0.5]*,1.0,0.698,0,0.698,0.698,0.698,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/version (GET),1.0 [0.5]*,1.0,0.693,0,0.693,0.693,0.693,00.0,00.0
/playermodel/battlelog/playermodel/battlelog/version (GET),1.0 [0.5]*,1.0,0.669,0,0.669,0.669,0.669,00.0,00.0
/{a:crate|crate\/v1}/battlelog/playermodel/battlelog/version (GET),1.0 [0.5]*,1.0,0.653,0,0.653,0.653,0.653,00.0,00.0
/playermodel/playermodel/version (GET),1.0 [0.5]*,1.0,0.638,0,0.638,0.638,0.638,00.0,00.0
/battlelog/recipe/version (GET),1.0 [0.5]*,1.0,0.469,0,0.469,0.469,0.469,00.0,00.0
